name,city,address,accepts,work_hours,phone_number,website
name,city,address,accepts,work_hours,phone_number,website
"РасБор, экопункт","Курган","ул.Урицкого, 36","Макулатура, батарейки, ПЭТ","Четверг с 18.00 до 20.00, Воскресенье с 15.00 до 18.00","",""
"Пункт приема вторсырья","Курган","ул.Садовая, 1а","Макулатура, пластик","Понедельник-пятница с 8.00 до 17.00, Суббота с 8.00 до 14.00, Воскресенье выходной","",""
"Пункт приема вторсырья","Курган","ул.Коли Мяготина, 105","Макулатура, пластик","Понедельник-пятница с 8.00 до 16.00, Суббота с 9.00 до 13.00","",""
"Пункт приема вторсырья","Курган","ул.Половинская, 1/6","Макулатура, пластик","Понедельник-пятница с 8.00 до 14.00, Суббота Воскресенье выходной","",""
"Пункт приема вторсырья","Курган","ул.Омская, 181п","Макулатура, пластик","Понедельник-пятница с 9.00 до 18.00, Суббота Воскресенье выходной","",""
"Абсолют-экология","Курган","ул.Омская, 132/2","Макулатура","Понедельник-пятница с 9.00 до 18.00, Суббота с 9.00 до 14.00, Воскресенье выходной","",""
"пункт приема макулатуры","Курган","ул.Пушкина, 18","макулатура","ежедневно с 9.00 до 20.00","",""
"Пункт приема вторсырья","Курган","пр-т Машиностроителей, 30Б","Макулатура, пластик","Понедельник-пятница с 8.00 до 17.00, Суббота с 8.00 до 14.00, Воскресенье выходной","",""
"Пункт приема вторсырья","Курган","пр-т Конституции, 62а","Макулатура, пластик","Понедельник-Суббота с 8.00 до 14.00, Воскресенье выходной","89195868318",""
"Пункт приема вторсырья","Курган","3 мкрн, 1Б","Макулатура, пластик","Понедельник-Пятница с 9.00 до 14.00, Суббота с 9.00 до 12.00, Воскресенье выходной","89195868318",""
"Сбер","Курган","3 мкрн, 1Б","батарейки, крышечки","пн-пт 09:00-18:00; сб 09:00-13:00","89195728770",""
"Сбер","Курган","ул. Гоголя, 98","батарейки","пн-пт 09:00-18:00","89195728770",""
"Сбер","Курган","ул. Красина 31","батарейки","пн-пт 09:00-18:00","89195728770",""
"Сбер","Курган","ул. Гоголя 103","батарейки","пн-пт 09:00-18:00","89195728770",""
"Сбер","Курган","ул. Куйбышева, 72","батарейки","пн-пт 09:00-18:00","89195728770",""
"Сбер","Курган","ул. Чернореченская, 69","батарейки","пн-пт 09:00-18:00","89195728770",""
"Сбер","Курган","2 мкр. 10/1","батарейки","пн-пт 09:00-18:00","89195728770",""
"Сбер","Курган","К.Мяготина, 100","батарейки","пн-пт 09:00-18:00","89195728770",""
"Сбер","Курган","К.Мяготина, 61/2","батарейки","пн-пт 09:00-18:00","89195728770",""
"Сбер","Курган","пр. Конституции, 42","батарейки","пн-пт 09:00-18:00","89195728770",""
